scenario_id,step,wave_H_m,wind_V_ms,water_depth_m,scour_depth_m
0,0,1.758,4.9,32.16,0.431
0,1,1.64,4.6,32.16,1.207
0,2,1.748,5.31,32.16,1.921
0,3,1.86,5.45,32.16,2.583
0,4,2.027,5.42,32.16,3.178
0,5,2.107,6.12,32.16,3.695
0,6,2.071,6.02,32.16,4.158
0,7,2.021,6.29,32.16,4.613
0,8,2.275,6.68,32.16,5.005
0,9,2.237,6.8,32.16,5.345
0,10,2.258,7.83,32.16,5.645
0,11,2.359,7.28,32.16,5.952
0,12,2.597,7.81,32.16,6.191
0,13,2.779,7.95,32.16,6.402
0,14,2.725,8.25,32.16,6.654
0,15,2.82,8.51,32.16,6.827
0,16,2.996,8.88,32.16,6.987
0,17,2.802,8.93,32.16,7.11
0,18,3.086,9.15,32.16,7.264
0,19,3.112,9.33,32.16,7.443
0,20,3.248,9.51,32.16,7.484
0,21,3.221,9.51,32.16,7.61
0,22,3.266,10.0,32.16,7.705
0,23,3.44,10.33,32.16,7.794
0,24,3.67,10.61,32.16,7.831
0,25,3.669,10.78,32.16,7.931
0,26,3.611,10.89,32.16,7.954
0,27,3.606,11.18,32.16,8.044
0,28,3.65,11.26,32.16,8.078
0,29,4.028,11.76,32.16,8.118
1,0,1.333,5.28,24.38,0.186
1,1,1.465,5.66,24.38,0.702
1,2,1.699,6.16,24.38,1.201
1,3,1.474,5.91,24.38,1.638
1,4,1.854,6.56,24.38,2.048
1,5,1.748,6.65,24.38,2.353
1,6,1.728,7.5,24.38,2.716
1,7,1.887,7.09,24.38,2.987
1,8,1.908,7.62,24.38,3.24
1,9,2.093,7.68,24.38,3.459
1,10,2.054,7.51,24.38,3.706
1,11,1.996,8.03,24.38,3.867
1,12,2.234,8.71,24.38,4.068
1,13,2.19,8.57,24.38,4.251
1,14,2.415,8.3,24.38,4.372
1,15,2.344,9.21,24.38,4.507
1,16,2.483,9.15,24.38,4.578
1,17,2.619,9.78,24.38,4.711
1,18,2.649,10.46,24.38,4.765
1,19,2.764,10.48,24.38,4.867
1,20,2.876,10.97,24.38,4.982
1,21,2.761,10.6,24.38,5.003
1,22,2.94,10.98,24.38,5.098
1,23,2.682,10.97,24.38,5.151
1,24,3.109,11.34,24.38,5.202
1,25,3.123,11.52,24.38,5.2
1,26,3.123,11.67,24.38,5.277
1,27,3.322,12.73,24.38,5.3
1,28,3.477,11.95,24.38,5.357
1,29,3.381,13.25,24.38,5.332
2,0,2.689,3.99,23.61,0.106
2,1,2.934,3.94,23.61,0.687
2,2,2.918,3.63,23.61,1.169
2,3,3.12,3.67,23.61,1.666
2,4,3.443,4.15,23.61,2.075
2,5,3.461,4.68,23.61,2.484
2,6,3.401,4.67,23.61,2.857
2,7,3.544,4.53,23.61,3.164
2,8,3.874,5.36,23.61,3.447
2,9,4.079,5.7,23.61,3.678
2,10,3.965,5.3,23.61,3.951
2,11,4.306,5.57,23.61,4.136
2,12,4.528,5.26,23.61,4.324
2,13,4.719,5.77,23.61,4.511
2,14,4.697,6.22,23.61,4.624
2,15,4.849,6.35,23.61,4.786
2,16,4.72,6.26,23.61,4.914
2,17,5.277,6.51,23.61,5.006
2,18,5.144,6.63,23.61,5.13
2,19,5.243,6.85,23.61,5.218
2,20,5.445,7.24,23.61,5.288
2,21,5.756,6.7,23.61,5.361
2,22,5.96,7.44,23.61,5.441
2,23,5.886,7.74,23.61,5.506
2,24,6.108,7.64,23.61,5.546
2,25,6.146,7.84,23.61,5.615
2,26,6.173,8.03,23.61,5.65
2,27,6.558,8.19,23.61,5.641
2,28,6.483,8.51,23.61,5.684
2,29,6.833,8.72,23.61,5.768
3,0,2.586,8.19,35.54,1.128
3,1,2.637,9.44,35.54,1.996
3,2,2.877,9.58,35.54,2.789
3,3,3.036,10.67,35.54,3.465
3,4,2.913,10.16,35.54,4.095
3,5,2.969,10.68,35.54,4.645
3,6,2.982,11.31,35.54,5.182
3,7,3.511,11.92,35.54,5.648
3,8,3.361,11.63,35.54,6.041
3,9,3.637,12.4,35.54,6.41
3,10,3.568,13.25,35.54,6.819
3,11,3.915,13.21,35.54,7.07
3,12,3.81,14.33,35.54,7.333
3,13,3.879,14.21,35.54,7.609
3,14,4.096,14.5,35.54,7.818
3,15,4.182,15.38,35.54,7.999
3,16,4.414,16.11,35.54,8.212
3,17,4.467,16.17,35.54,8.35
3,18,4.654,16.85,35.54,8.546
3,19,4.681,17.4,35.54,8.658
3,20,4.762,17.05,35.54,8.763
3,21,4.889,18.03,35.54,8.879
3,22,5.27,17.72,35.54,8.993
3,23,5.207,18.73,35.54,9.067
3,24,5.104,19.01,35.54,9.185
3,25,5.369,19.83,35.54,9.237
3,26,5.55,20.23,35.54,9.289
3,27,5.843,20.48,35.54,9.319
3,28,5.88,20.82,35.54,9.387
3,29,5.804,21.31,35.54,9.447
4,0,2.01,4.94,31.26,0.23
4,1,1.851,5.14,31.26,1.069
4,2,2.064,5.83,31.26,1.742
4,3,1.909,6.11,31.26,2.397
4,4,1.87,5.83,31.26,2.982
4,5,2.054,6.18,31.26,3.535
4,6,1.956,6.37,31.26,3.979
4,7,2.577,6.1,31.26,4.388
4,8,2.473,6.72,31.26,4.832
4,9,2.444,7.54,31.26,5.149
4,10,2.667,7.08,31.26,5.451
4,11,2.726,8.17,31.26,5.74
4,12,2.855,8.13,31.26,6.045
4,13,2.999,8.13,31.26,6.228
4,14,2.935,8.42,31.26,6.446
4,15,2.961,8.21,31.26,6.627
4,16,3.217,8.65,31.26,6.78
4,17,3.3,9.4,31.26,6.942
4,18,3.315,9.02,31.26,7.068
4,19,3.608,9.76,31.26,7.237
4,20,3.432,9.27,31.26,7.331
4,21,3.471,9.56,31.26,7.48
4,22,3.688,10.72,31.26,7.507
4,23,3.665,10.39,31.26,7.585
4,24,3.867,10.47,31.26,7.707
4,25,3.819,11.28,31.26,7.764
4,26,3.948,11.48,31.26,7.811
4,27,4.263,11.62,31.26,7.835
4,28,4.118,11.41,31.26,7.941
4,29,4.164,11.73,31.26,7.948
5,0,2.862,5.37,10.99,1.362
5,1,2.773,5.74,10.99,1.775
5,2,2.941,5.63,10.99,2.095
5,3,3.2,6.09,10.99,2.382
5,4,3.369,6.38,10.99,2.685
5,5,3.53,6.94,10.99,2.921
5,6,3.466,7.03,10.99,3.103
5,7,3.732,6.61,10.99,3.351
5,8,3.759,7.25,10.99,3.543
5,9,3.877,7.29,10.99,3.697
5,10,4.191,7.99,10.99,3.881
5,11,4.148,8.35,10.99,3.99
5,12,4.363,8.36,10.99,4.137
5,13,4.484,8.51,10.99,4.213
5,14,4.494,8.86,10.99,4.355
5,15,4.83,9.16,10.99,4.401
5,16,4.922,9.16,10.99,4.46
5,17,4.8,9.24,10.99,4.605
5,18,5.158,9.25,10.99,4.628
5,19,5.186,10.5,10.99,4.74
5,20,5.505,10.52,10.99,4.769
5,21,5.384,10.73,10.99,4.822
5,22,5.625,11.26,10.99,4.871
5,23,5.83,10.76,10.99,4.891
5,24,5.931,10.87,10.99,4.927
5,25,6.135,11.76,10.99,4.981
5,26,6.039,11.99,10.99,4.987
5,27,6.489,11.63,10.99,4.996
5,28,6.508,12.52,10.99,5.045
5,29,6.724,12.54,10.99,5.013
6,0,1.537,11.24,18.89,0.578
6,1,1.518,11.94,18.89,1.087
6,2,1.461,11.86,18.89,1.543
6,3,1.603,12.97,18.89,1.956
6,4,1.888,13.49,18.89,2.304
6,5,1.938,14.42,18.89,2.64
6,6,1.807,14.76,18.89,2.921
6,7,1.657,15.55,18.89,3.254
6,8,1.988,15.15,18.89,3.456
6,9,2.05,16.22,18.89,3.694
6,10,2.124,17.19,18.89,3.893
6,11,2.272,17.49,18.89,4.042
6,12,2.376,18.39,18.89,4.197
6,13,2.458,18.15,18.89,4.379
6,14,2.473,19.46,18.89,4.502
6,15,2.319,19.61,18.89,4.629
6,16,2.535,20.13,18.89,4.76
6,17,2.869,21.2,18.89,4.84
6,18,2.746,21.81,18.89,4.939
6,19,2.815,22.32,18.89,5.012
6,20,2.885,23.18,18.89,5.068
6,21,2.96,23.5,18.89,5.118
6,22,2.75,23.44,18.89,5.201
6,23,3.035,24.27,18.89,5.25
6,24,3.125,24.68,18.89,5.314
6,25,3.327,25.95,18.89,5.335
6,26,3.273,26.23,18.89,5.37
6,27,3.174,26.39,18.89,5.406
6,28,3.451,27.27,18.89,5.424
6,29,3.398,27.19,18.89,5.499
7,0,3.16,7.25,36.13,1.029
7,1,3.357,7.24,36.13,1.733
7,2,3.653,7.36,36.13,2.451
7,3,3.883,8.45,36.13,3.009
7,4,3.964,8.83,36.13,3.616
7,5,4.137,9.04,36.13,4.079
7,6,4.28,9.19,36.13,4.548
7,7,4.401,9.21,36.13,4.906
7,8,4.619,9.59,36.13,5.285
7,9,4.466,10.0,36.13,5.647
7,10,4.877,10.56,36.13,5.919
7,11,4.92,11.3,36.13,6.184
7,12,5.299,11.64,36.13,6.469
7,13,5.327,11.18,36.13,6.702
7,14,5.503,11.81,36.13,6.873
7,15,5.508,12.15,36.13,7.009
7,16,5.919,11.95,36.13,7.225
7,17,6.038,13.23,36.13,7.302
7,18,6.189,13.33,36.13,7.457
7,19,6.211,13.72,36.13,7.58
7,20,6.373,14.5,36.13,7.723
7,21,6.631,14.47,36.13,7.798
7,22,6.698,14.66,36.13,7.856
7,23,6.969,15.31,36.13,7.923
7,24,6.868,15.8,36.13,8.032
7,25,7.194,15.92,36.13,8.064
7,26,7.581,16.38,36.13,8.135
7,27,7.604,16.47,36.13,8.155
7,28,7.735,16.84,36.13,8.24
7,29,8.075,17.24,36.13,8.279
8,0,1.069,6.2,10.55,0.313
8,1,1.284,6.56,10.55,0.839
8,2,1.388,7.45,10.55,1.263
8,3,1.577,7.95,10.55,1.657
8,4,1.642,8.14,10.55,1.987
8,5,1.53,7.57,10.55,2.316
8,6,1.78,7.86,10.55,2.6
8,7,1.702,8.23,10.55,2.854
8,8,1.927,8.94,10.55,3.093
8,9,1.765,8.37,10.55,3.325
8,10,1.919,9.34,10.55,3.51
8,11,1.945,10.25,10.55,3.636
8,12,2.163,10.44,10.55,3.833
8,13,2.068,10.3,10.55,3.976
8,14,2.179,10.63,10.55,4.075
8,15,2.297,11.24,10.55,4.201
8,16,2.363,11.66,10.55,4.302
8,17,2.46,11.53,10.55,4.367
8,18,2.456,11.93,10.55,4.459
8,19,2.456,12.14,10.55,4.557
8,20,2.525,12.22,10.55,4.599
8,21,2.626,12.87,10.55,4.689
8,22,2.711,13.15,10.55,4.75
8,23,2.734,13.17,10.55,4.796
8,24,2.814,14.05,10.55,4.858
8,25,2.723,14.32,10.55,4.856
8,26,3.004,14.69,10.55,4.898
8,27,3.019,14.56,10.55,4.933
8,28,3.164,14.51,10.55,4.955
8,29,3.126,15.55,10.55,4.994
9,0,0.882,9.54,26.36,0.326
9,1,1.071,9.94,26.36,0.922
9,2,1.138,10.3,26.36,1.394
9,3,1.283,11.07,26.36,1.856
9,4,1.053,12.09,26.36,2.298
9,5,1.315,11.94,26.36,2.649
9,6,1.413,12.23,26.36,2.999
9,7,1.347,13.23,26.36,3.281
9,8,1.471,13.55,26.36,3.577
9,9,1.452,13.33,26.36,3.794
9,10,1.493,14.64,26.36,3.98
