scenario_id,step,u_displacement,K_stiffness,G_ratio,f_over_f0
0,0,0.0,1.976973,1.0,1.0
0,1,0.003222,1.973392,0.996328,0.986036
0,2,0.011913,1.923766,0.982611,0.971175
0,3,0.011751,1.930564,0.982888,0.962031
0,4,0.016152,1.922366,0.975134,0.948909
0,5,0.020931,1.930145,0.966367,0.944054
0,6,0.026894,1.900864,0.955093,0.926393
0,7,0.022035,1.940332,0.964303,0.930089
0,8,0.033873,1.831098,0.941606,0.91408
0,9,0.035194,1.829173,0.939029,0.910107
0,10,0.039445,1.857534,0.930708,0.905157
0,11,0.046149,1.837512,0.917529,0.892289
0,12,0.04363,1.821657,0.922486,0.89315
0,13,0.05042,1.714539,0.909127,0.870891
0,14,0.049711,1.784073,0.910522,0.880394
0,15,0.057325,1.773865,0.895577,0.869047
0,16,0.068188,1.710676,0.874437,0.858225
0,17,0.066509,1.735822,0.877685,0.85376
0,18,0.065679,1.768745,0.879294,0.860998
0,19,0.072417,1.734512,0.866292,0.847887
0,20,0.074443,1.716231,0.86241,0.840492
0,21,0.079746,1.681448,0.852315,0.834832
0,22,0.088743,1.641039,0.835429,0.832651
0,23,0.086967,1.668275,0.838737,0.828233
0,24,0.099143,1.611889,0.816322,0.817021
0,25,0.099434,1.611399,0.815794,0.814543
0,26,0.105346,1.564767,0.805149,0.814966
0,27,0.107462,1.570675,0.801378,0.809307
0,28,0.112962,1.57457,0.791673,0.79564
0,29,0.119899,1.522103,0.779631,0.790089
1,0,0.000629,3.207802,0.999659,0.998419
1,1,0.003848,3.203995,0.997013,0.989866
1,2,0.005211,3.20166,0.995708,0.977734
1,3,0.009391,3.190437,0.991336,0.9792
1,4,0.010525,3.188529,0.990079,0.97767
1,5,0.014218,3.135353,0.985828,0.972527
1,6,0.016781,3.099063,0.982762,0.973715
1,7,0.019128,3.108635,0.97989,0.955346
1,8,0.021177,3.150692,0.977337,0.959362
1,9,0.026795,3.067619,0.970164,0.96189
1,10,0.031602,3.052649,0.963866,0.949465
1,11,0.034191,3.041588,0.960428,0.943747
1,12,0.032514,3.024009,0.962658,0.945868
1,13,0.04067,3.010903,0.951708,0.944599
1,14,0.03965,3.080777,0.95309,0.940798
1,15,0.045384,3.003607,0.945288,0.933482
1,16,0.046087,2.969355,0.944326,0.938455
1,17,0.051117,2.984753,0.937418,0.933414
1,18,0.053948,3.002863,0.933514,0.922837
1,19,0.054393,2.930984,0.9329,0.928495
1,20,0.061293,2.983257,0.923352,0.91583
1,21,0.067887,2.883673,0.914211,0.923433
1,22,0.067626,2.915418,0.914574,0.923145
1,23,0.075012,2.882427,0.90434,0.909976
1,24,0.075041,2.877864,0.9043,0.916307
1,25,0.081892,2.861966,0.894835,0.902437
1,26,0.076838,2.908631,0.901815,0.90843
1,27,0.094091,2.809088,0.878091,0.893985
1,28,0.096618,2.782251,0.874645,0.894563
1,29,0.094457,2.821479,0.877591,0.896725
2,0,0.0,4.29449,1.0,0.999069
2,1,0.003807,4.242441,0.9966,0.991866
2,2,0.004691,4.26871,0.995636,0.988226
2,3,0.010858,4.202935,0.988144,0.985739
2,4,0.014233,4.17912,0.983668,0.963532
2,5,0.015443,4.24246,0.982019,0.978701
2,6,0.02173,4.189198,0.973154,0.959582
2,7,0.024635,4.184436,0.968928,0.956069
2,8,0.028162,4.156326,0.963713,0.95795
2,9,0.030898,4.07604,0.959614,0.950197
2,10,0.031625,4.148965,0.958518,0.946783
2,11,0.039178,4.046417,0.947006,0.94295
2,12,0.040256,4.089036,0.945348,0.933342
2,13,0.042568,4.031055,0.941781,0.935269
2,14,0.05002,3.999014,0.930213,0.917591
2,15,0.054524,3.970012,0.923191,0.920997
2,16,0.054783,3.986859,0.922786,0.920337
2,17,0.06347,3.832887,0.909224,0.915643
2,18,0.063909,3.832261,0.908539,0.91196
2,19,0.065461,3.909352,0.906118,0.907427
2,20,0.069206,3.872007,0.900283,0.901246
2,21,0.077754,3.77192,0.887017,0.893843
2,22,0.077462,3.817196,0.887468,0.893382
2,23,0.085157,3.699682,0.875609,0.881897
2,24,0.083056,3.889292,0.878836,0.898377
2,25,0.089113,3.775432,0.869551,0.889302
2,26,0.097375,3.695622,0.857,0.878861
2,27,0.099632,3.660949,0.853597,0.880003
2,28,0.104895,3.601947,0.845708,0.875244
2,29,0.112843,3.527041,0.833923,0.859667
3,0,0.00209,4.586453,0.998175,0.991559
3,1,0.003558,4.544788,0.996549,0.985507
3,2,0.004574,4.54195,0.995341,0.967327
3,3,0.007511,4.496737,0.991584,0.954431
3,4,0.01089,4.55123,0.986917,0.947604
3,5,0.013976,4.502222,0.982431,0.945097
3,6,0.014847,4.537444,0.981135,0.933248
3,7,0.019732,4.499392,0.973662,0.92999
3,8,0.021761,4.474514,0.970477,0.921868
3,9,0.021379,4.585836,0.971079,0.92146
3,10,0.025644,4.472287,0.964277,0.911245
3,11,0.02954,4.351082,0.957947,0.907875
