scenario_id,step,F_lateral_kN,M_base_kNm,N_cycles,freq_Hz
0,0,0.0,0.0,0,0.115
0,1,31.72,174.5,63,0.115
0,2,116.33,639.9,127,0.115
0,3,114.93,632.2,190,0.115
0,4,159.77,878.8,254,0.115
0,5,208.66,1147.8,317,0.115
0,6,268.4,1476.4,380,0.115
0,7,222.51,1223.9,444,0.115
0,8,328.58,1807.4,507,0.115
0,9,341.88,1880.6,571,0.115
0,10,393.81,2166.2,634,0.115
0,11,459.49,2527.5,697,0.115
0,12,430.74,2369.4,761,0.115
0,13,475.07,2613.2,824,0.115
0,14,486.27,2674.8,888,0.115
0,15,566.74,3117.4,951,0.115
0,16,662.0,3641.4,1014,0.115
0,17,657.35,3615.9,1078,0.115
0,18,659.65,3628.5,1141,0.115
0,19,724.16,3983.4,1205,0.115
0,20,732.98,4031.8,1268,0.115
0,21,782.74,4305.6,1331,0.115
0,22,867.04,4769.3,1395,0.115
0,23,859.04,4725.3,1458,0.115
0,24,966.51,5316.5,1522,0.115
0,25,969.88,5335.0,1585,0.115
0,26,1013.47,5574.7,1648,0.115
0,27,1041.43,5728.5,1712,0.115
0,28,1111.84,6115.9,1775,0.115
0,29,1151.03,6331.4,1839,0.115
1,0,10.05,138.1,0,0.113
1,1,61.92,850.6,147,0.113
1,2,83.6,1148.3,295,0.113
1,3,151.2,2077.0,442,0.113
1,4,169.78,2332.2,589,0.113
1,5,224.96,3090.2,736,0.113
1,6,261.64,3593.9,884,0.113
1,7,301.14,4136.5,1031,0.113
1,8,339.16,4658.8,1178,0.113
1,9,418.84,5753.4,1326,0.113
1,10,489.11,6718.6,1473,0.113
1,11,529.91,7279.0,1620,0.113
1,12,502.05,6896.4,1768,0.113
1,13,623.41,8563.3,1915,0.113
1,14,620.17,8518.8,2062,0.113
1,15,692.71,9515.3,2209,0.113
1,16,692.48,9512.2,2357,0.113
1,17,768.91,10562.0,2504,0.113
1,18,819.04,11250.6,2651,0.113
1,19,810.07,11127.4,2799,0.113
1,20,917.83,12607.7,2946,0.113
1,21,984.94,13529.5,3093,0.113
1,22,984.31,13520.8,3241,0.113
1,23,1075.33,14771.1,3388,0.113
1,24,1073.81,14750.3,3535,0.113
1,25,1149.97,15796.4,3682,0.113
1,26,1102.9,15149.9,3830,0.113
1,27,1287.0,17678.7,3977,0.113
1,28,1304.28,17916.1,4124,0.113
1,29,1295.86,17800.4,4272,0.113
2,0,0.0,0.0,0,0.195
2,1,80.9,465.7,274,0.195
2,2,101.21,582.5,549,0.195
2,3,230.14,1324.6,823,0.195
2,4,301.4,1734.7,1098,0.195
2,5,333.08,1917.0,1372,0.195
2,6,467.21,2689.1,1647,0.195
2,7,530.02,3050.5,1921,0.195
