scenario_id,step,Su_kPa,G0_kPa,void_ratio,OCR
0,0,93.36,31108.0,1.031,2.17
0,1,92.66,31108.0,1.031,2.17
0,2,92.36,31108.0,1.031,2.17
0,3,91.59,31108.0,1.031,2.17
0,4,91.73,31108.0,1.031,2.17
0,5,90.84,31108.0,1.031,2.17
0,6,90.86,31108.0,1.031,2.17
0,7,89.48,31108.0,1.031,2.17
0,8,89.94,31108.0,1.031,2.17
0,9,89.71,31108.0,1.031,2.17
0,10,87.81,31108.0,1.031,2.17
0,11,88.51,31108.0,1.031,2.17
0,12,88.45,31108.0,1.031,2.17
0,13,86.75,31108.0,1.031,2.17
0,14,87.71,31108.0,1.031,2.17
0,15,86.59,31108.0,1.031,2.17
0,16,85.55,31108.0,1.031,2.17
0,17,85.39,31108.0,1.031,2.17
0,18,85.21,31108.0,1.031,2.17
0,19,84.49,31108.0,1.031,2.17
0,20,84.23,31108.0,1.031,2.17
0,21,83.02,31108.0,1.031,2.17
0,22,83.08,31108.0,1.031,2.17
0,23,81.8,31108.0,1.031,2.17
0,24,81.97,31108.0,1.031,2.17
0,25,81.09,31108.0,1.031,2.17
0,26,80.69,31108.0,1.031,2.17
0,27,81.19,31108.0,1.031,2.17
0,28,80.63,31108.0,1.031,2.17
0,29,79.91,31108.0,1.031,2.17
1,0,43.18,52514.1,0.517,2.17
1,1,43.34,52514.1,0.517,2.17
1,2,43.88,52514.1,0.517,2.17
1,3,43.12,52514.1,0.517,2.17
1,4,43.98,52514.1,0.517,2.17
1,5,42.79,52514.1,0.517,2.17
1,6,42.47,52514.1,0.517,2.17
1,7,41.99,52514.1,0.517,2.17
1,8,41.99,52514.1,0.517,2.17
1,9,41.62,52514.1,0.517,2.17
1,10,41.82,52514.1,0.517,2.17
1,11,41.72,52514.1,0.517,2.17
1,12,40.62,52514.1,0.517,2.17
1,13,40.12,52514.1,0.517,2.17
1,14,39.64,52514.1,0.517,2.17
1,15,40.59,52514.1,0.517,2.17
1,16,39.56,52514.1,0.517,2.17
1,17,38.81,52514.1,0.517,2.17
1,18,39.85,52514.1,0.517,2.17
1,19,40.68,52514.1,0.517,2.17
1,20,39.2,52514.1,0.517,2.17
1,21,39.4,52514.1,0.517,2.17
1,22,38.79,52514.1,0.517,2.17
1,23,38.48,52514.1,0.517,2.17
1,24,38.76,52514.1,0.517,2.17
1,25,37.93,52514.1,0.517,2.17
1,26,37.98,52514.1,0.517,2.17
1,27,37.78,52514.1,0.517,2.17
1,28,37.06,52514.1,0.517,2.17
1,29,37.67,52514.1,0.517,2.17
2,0,81.78,72376.8,0.515,1.26
2,1,81.06,72376.8,0.515,1.26
2,2,81.29,72376.8,0.515,1.26
2,3,80.15,72376.8,0.515,1.26
2,4,80.19,72376.8,0.515,1.26
2,5,79.74,72376.8,0.515,1.26
2,6,79.87,72376.8,0.515,1.26
2,7,79.14,72376.8,0.515,1.26
2,8,78.47,72376.8,0.515,1.26
2,9,78.46,72376.8,0.515,1.26
2,10,78.33,72376.8,0.515,1.26
2,11,77.49,72376.8,0.515,1.26
2,12,76.79,72376.8,0.515,1.26
2,13,75.71,72376.8,0.515,1.26
2,14,75.41,72376.8,0.515,1.26
2,15,75.36,72376.8,0.515,1.26
2,16,74.79,72376.8,0.515,1.26
2,17,74.57,72376.8,0.515,1.26
2,18,74.27,72376.8,0.515,1.26
2,19,74.09,72376.8,0.515,1.26
2,20,73.36,72376.8,0.515,1.26
2,21,73.22,72376.8,0.515,1.26
2,22,72.58,72376.8,0.515,1.26
2,23,71.14,72376.8,0.515,1.26
2,24,71.23,72376.8,0.515,1.26
2,25,71.21,72376.8,0.515,1.26
2,26,70.25,72376.8,0.515,1.26
2,27,70.73,72376.8,0.515,1.26
2,28,70.77,72376.8,0.515,1.26
2,29,70.2,72376.8,0.515,1.26
3,0,84.5,63933.5,0.727,6.15
3,1,84.91,63933.5,0.727,6.15
3,2,83.8,63933.5,0.727,6.15
3,3,83.12,63933.5,0.727,6.15
3,4,82.55,63933.5,0.727,6.15
3,5,82.27,63933.5,0.727,6.15
3,6,81.78,63933.5,0.727,6.15
3,7,81.63,63933.5,0.727,6.15
3,8,81.18,63933.5,0.727,6.15
3,9,80.67,63933.5,0.727,6.15
3,10,80.45,63933.5,0.727,6.15
3,11,80.39,63933.5,0.727,6.15
3,12,79.83,63933.5,0.727,6.15
3,13,78.17,63933.5,0.727,6.15
3,14,77.2,63933.5,0.727,6.15
3,15,78.51,63933.5,0.727,6.15
3,16,76.92,63933.5,0.727,6.15
3,17,77.05,63933.5,0.727,6.15
3,18,76.14,63933.5,0.727,6.15
3,19,75.39,63933.5,0.727,6.15
3,20,76.12,63933.5,0.727,6.15
3,21,75.79,63933.5,0.727,6.15
3,22,74.69,63933.5,0.727,6.15
3,23,73.24,63933.5,0.727,6.15
3,24,73.83,63933.5,0.727,6.15
3,25,73.86,63933.5,0.727,6.15
3,26,72.49,63933.5,0.727,6.15
3,27,72.88,63933.5,0.727,6.15
3,28,72.34,63933.5,0.727,6.15
3,29,72.2,63933.5,0.727,6.15
4,0,68.23,68393.7,0.842,5.65
4,1,67.33,68393.7,0.842,5.65
4,2,68.06,68393.7,0.842,5.65
4,3,67.03,68393.7,0.842,5.65
4,4,66.75,68393.7,0.842,5.65
4,5,65.94,68393.7,0.842,5.65
4,6,65.83,68393.7,0.842,5.65
4,7,65.26,68393.7,0.842,5.65
4,8,65.26,68393.7,0.842,5.65
4,9,65.85,68393.7,0.842,5.65
4,10,63.96,68393.7,0.842,5.65
4,11,63.49,68393.7,0.842,5.65
