scenario_id,step,L_pile_m,D_pile_m,t_wall_m,EI_Nm2
0,0,27.491,6.568,0.0552,16757402523.0
0,1,27.491,6.568,0.0552,16757402523.0
0,2,27.491,6.568,0.0552,16757402523.0
0,3,27.491,6.568,0.0552,16757402523.0
0,4,27.491,6.568,0.0552,16757402523.0
0,5,27.491,6.568,0.0552,16757402523.0
0,6,27.491,6.568,0.0552,16757402523.0
0,7,27.491,6.568,0.0552,16757402523.0
0,8,27.491,6.568,0.0552,16757402523.0
0,9,27.491,6.568,0.0552,16757402523.0
0,10,27.491,6.568,0.0552,16757402523.0
0,11,27.491,6.568,0.0552,16757402523.0
0,12,27.491,6.568,0.0552,16757402523.0
0,13,27.491,6.568,0.0552,16757402523.0
0,14,27.491,6.568,0.0552,16757402523.0
0,15,27.491,6.568,0.0552,16757402523.0
0,16,27.491,6.568,0.0552,16757402523.0
0,17,27.491,6.568,0.0552,16757402523.0
0,18,27.491,6.568,0.0552,16757402523.0
0,19,27.491,6.568,0.0552,16757402523.0
0,20,27.491,6.568,0.0552,16757402523.0
0,21,27.491,6.568,0.0552,16757402523.0
0,22,27.491,6.568,0.0552,16757402523.0
0,23,27.491,6.568,0.0552,16757402523.0
0,24,27.491,6.568,0.0552,16757402523.0
0,25,27.491,6.568,0.0552,16757402523.0
0,26,27.491,6.568,0.0552,16757402523.0
0,27,27.491,6.568,0.0552,16757402523.0
0,28,27.491,6.568,0.0552,16757402523.0
0,29,27.491,6.568,0.0552,16757402523.0
1,0,39.014,4.337,0.0951,21143613561.0
1,1,39.014,4.337,0.0951,21143613561.0
1,2,39.014,4.337,0.0951,21143613561.0
1,3,39.014,4.337,0.0951,21143613561.0
1,4,39.014,4.337,0.0951,21143613561.0
1,5,39.014,4.337,0.0951,21143613561.0
1,6,39.014,4.337,0.0951,21143613561.0
1,7,39.014,4.337,0.0951,21143613561.0
1,8,39.014,4.337,0.0951,21143613561.0
1,9,39.014,4.337,0.0951,21143613561.0
1,10,39.014,4.337,0.0951,21143613561.0
1,11,39.014,4.337,0.0951,21143613561.0
1,12,39.014,4.337,0.0951,21143613561.0
1,13,39.014,4.337,0.0951,21143613561.0
1,14,39.014,4.337,0.0951,21143613561.0
1,15,39.014,4.337,0.0951,21143613561.0
1,16,39.014,4.337,0.0951,21143613561.0
1,17,39.014,4.337,0.0951,21143613561.0
1,18,39.014,4.337,0.0951,21143613561.0
1,19,39.014,4.337,0.0951,21143613561.0
1,20,39.014,4.337,0.0951,21143613561.0
1,21,39.014,4.337,0.0951,21143613561.0
1,22,39.014,4.337,0.0951,21143613561.0
1,23,39.014,4.337,0.0951,21143613561.0
